metric,family,favorable_direction,paired_mean_difference_distributed_minus_monolith,paired_median_difference_distributed_minus_monolith,paired_median_ci_low,paired_median_ci_high,distributed_wins,ties,distributed_losses,rank_biserial_favorable_to_distributed,p_permutation,p_holm_within_family
time_to_0_94_seconds_censored,primary,lower,455.6394666666667,422.74,283.2745,755.2270000000001,7,0,23,-0.6903225806451613,0.0007949960250198749,0.0007949960250198749
test_f1_macro,quality_guardrail,higher,-0.0017590128036000057,1.7485330500000007e-05,0.0,0.0010469791749999624,15,10,5,0.4666666666666667,0.5728171359143204,0.5728171359143204
anytime_auc_normalized,secondary,higher,-0.02083021775072023,-0.016897792064181683,-0.025618572456056032,-0.01019231177641916,3,0,27,-0.9354838709677419,4.9999750001249995e-06,5.4999725001374995e-05
time_to_0_93_seconds_censored,secondary,lower,484.50363333333337,420.5385,217.96249999999998,739.5845,6,0,24,-0.7591397849462366,6.999965000175e-05,0.00020999895000524998
time_to_0_945_seconds_censored,secondary,lower,-42.16389999999996,0.0,-136.59199999999996,0.0,11,11,8,0.07368421052631578,0.7985160074199629,1.0
time_to_0_95_seconds_censored,secondary,lower,0.0,0.0,0.0,0.0,0,30,0,0.0,1.0,1.0
candidates_per_second,secondary,higher,0.03364197530864198,0.03166666666666667,0.028703703703703703,0.04092592592592593,30,0,0,1.0,4.9999750001249995e-06,5.4999725001374995e-05
cpu_cores_median,secondary,higher,3.1724683333333332,3.0700999999999996,3.053725,3.1275749999999998,30,0,0,1.0,4.9999750001249995e-06,5.4999725001374995e-05
estimated_cpu_core_seconds_to_0_94_censored,secondary,lower,4280.038891686667,3318.3236768000006,2603.9316837250008,5430.206512474999,0,0,30,-1.0,4.9999750001249995e-06,5.4999725001374995e-05
cpu_hours_per_candidate,secondary,lower,0.007306368580828362,0.00709494136888476,0.006221071125116367,0.007364017833276054,0,0,30,-1.0,4.9999750001249995e-06,5.4999725001374995e-05
memory_gib_hours_per_candidate,secondary,lower,0.008124323843880408,0.0073973848298874816,0.006672460135255527,0.008746444145475735,0,0,30,-1.0,4.9999750001249995e-06,5.4999725001374995e-05
local_search_overlap_percent,secondary,higher,99.13524230288199,99.99848380570955,99.1142480642778,99.99877684817447,30,0,0,1.0,4.9999750001249995e-06,5.4999725001374995e-05
reduction_percent,secondary,higher,3.3986928104575176,1.9607843137254974,0.0,3.9215686274509807,18,12,0,1.0,1.9999900000499998e-05,7.999960000199999e-05
