arm_id,arm_code,comparator,comparator_code,paired_mean_difference,paired_median_difference,wins,ties,losses,rank_biserial,p_exact_unadjusted,p_holm
distributed-gr-rvnd-bitflip,GR-RVND-BF,baseline-all-features,ALL-51,0.0045022731876249444,0.004048357178999928,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwss,GR-RVND-IWSS,baseline-all-features,ALL-51,0.003834774272999955,0.0038771590264999323,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwssr,GR-RVND-IWSSR,baseline-all-features,ALL-51,0.004463763683874966,0.004017961822499971,8,0,0,1.0,0.0078125,0.1875
distributed-gr-vnd-bitflip,GR-VND-BF,baseline-all-features,ALL-51,-0.06148526869575005,-0.055382508876500036,0,0,8,-1.0,0.0078125,0.1875
distributed-gr-vnd-iwss,GR-VND-IWSS,baseline-all-features,ALL-51,0.004915167339124962,0.004201149504499957,8,0,0,1.0,0.0078125,0.1875
distributed-gr-vnd-iwssr,GR-VND-IWSSR,baseline-all-features,ALL-51,0.002113497316499957,0.003837556970999967,6,0,2,0.3888888888888889,0.3046875,0.3046875
distributed-ig-rvnd-bitflip,IG-RVND-BF,baseline-all-features,ALL-51,0.005773948049124969,0.005533564362499965,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwss,IG-RVND-IWSS,baseline-all-features,ALL-51,0.005288713521124949,0.005056294548499984,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,baseline-all-features,ALL-51,0.004232341433249964,0.003927832127499975,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-bitflip,IG-VND-BF,baseline-all-features,ALL-51,-0.06306408170750007,-0.07067587037750006,0,0,8,-1.0,0.0078125,0.1875
distributed-ig-vnd-iwss,IG-VND-IWSS,baseline-all-features,ALL-51,0.005858265528624951,0.005573161706499963,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-iwssr,IG-VND-IWSSR,baseline-all-features,ALL-51,0.0031391990002499343,0.0031566522149999443,5,0,3,0.6111111111111112,0.09375,0.2109375
distributed-relieff-rvnd-bitflip,RF-RVND-BF,baseline-all-features,ALL-51,0.005319673663374949,0.005646150307499986,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,baseline-all-features,ALL-51,0.005754213761749963,0.0053754770584999445,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,baseline-all-features,ALL-51,0.005695977399749946,0.005986538562499977,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-bitflip,RF-VND-BF,baseline-all-features,ALL-51,-0.03934063193300005,-0.03789453181750008,0,0,8,-1.0,0.0078125,0.1875
distributed-relieff-vnd-iwss,RF-VND-IWSS,baseline-all-features,ALL-51,0.005242266005499943,0.00483848983199997,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,baseline-all-features,ALL-51,0.005892313811249966,0.006941637670499934,7,0,1,0.9444444444444444,0.015625,0.1875
distributed-su-rvnd-bitflip,SU-RVND-BF,baseline-all-features,ALL-51,0.003435176295499942,0.002762030895999912,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwss,SU-RVND-IWSS,baseline-all-features,ALL-51,0.003339735653374948,0.0035499528589999496,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwssr,SU-RVND-IWSSR,baseline-all-features,ALL-51,0.003244990711249951,0.0034747658529999392,8,0,0,1.0,0.0078125,0.1875
distributed-su-vnd-bitflip,SU-VND-BF,baseline-all-features,ALL-51,-0.057112280451750055,-0.058391683832500096,0,0,8,-1.0,0.0078125,0.1875
distributed-su-vnd-iwss,SU-VND-IWSS,baseline-all-features,ALL-51,0.004268786117124959,0.004053344504999945,8,0,0,1.0,0.0078125,0.1875
distributed-su-vnd-iwssr,SU-VND-IWSSR,baseline-all-features,ALL-51,0.0031985142616249435,0.00434643877799995,7,0,1,0.5555555555555556,0.0703125,0.2109375
distributed-gr-rvnd-bitflip,GR-RVND-BF,monolith1-gr-bitflip,M1-GR-BF,0.004881308242999968,0.0024940015614999256,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwss,GR-RVND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.004213809328374979,0.003128757173999963,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwssr,GR-RVND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.00484279873924999,0.004157009920499943,7,0,1,0.9444444444444444,0.015625,0.1875
distributed-gr-vnd-bitflip,GR-VND-BF,monolith1-gr-bitflip,M1-GR-BF,-0.06110623364037503,-0.05614075567250004,0,0,8,-1.0,0.0078125,0.1875
distributed-gr-vnd-iwss,GR-VND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.005294202394499986,0.0023277562434999566,8,0,0,1.0,0.0078125,0.1875
distributed-gr-vnd-iwssr,GR-VND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.002492532371874981,0.002487100603499992,7,0,1,0.6666666666666666,0.09375,0.1875
distributed-ig-rvnd-bitflip,IG-RVND-BF,monolith1-gr-bitflip,M1-GR-BF,0.006152983104499993,0.005329967440499961,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwss,IG-RVND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.005667748576499973,0.004476958267999931,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.004611376488624988,0.004434769332999966,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-bitflip,IG-VND-BF,monolith1-gr-bitflip,M1-GR-BF,-0.06268504665212504,-0.07254926363850006,0,0,8,-1.0,0.0078125,0.1875
distributed-ig-vnd-iwss,IG-VND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.0062373005839999746,0.005293001977999923,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-iwssr,IG-VND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.003518234055624958,0.0037266023704999873,6,0,2,0.8333333333333334,0.0390625,0.1875
distributed-relieff-rvnd-bitflip,RF-RVND-BF,monolith1-gr-bitflip,M1-GR-BF,0.005698708718749973,0.00474038115899994,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.006133248817124987,0.0055612479664999825,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.00607501245512497,0.005025047189999965,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-bitflip,RF-VND-BF,monolith1-gr-bitflip,M1-GR-BF,-0.03896159687762503,-0.03976792507850008,0,0,8,-1.0,0.0078125,0.1875
distributed-relieff-vnd-iwss,RF-VND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.005621301060874967,0.0044801515389999436,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.00627134886662499,0.0052019276999999975,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-bitflip,SU-RVND-BF,monolith1-gr-bitflip,M1-GR-BF,0.003814211350874966,0.0038346629679999467,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwss,SU-RVND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.0037187707087499716,0.0024216252919999626,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwssr,SU-RVND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.0036240257666249748,0.0021144430989999408,8,0,0,1.0,0.0078125,0.1875
distributed-su-vnd-bitflip,SU-VND-BF,monolith1-gr-bitflip,M1-GR-BF,-0.05673324539637503,-0.05767158866400007,0,0,8,-1.0,0.0078125,0.1875
distributed-su-vnd-iwss,SU-VND-IWSS,monolith1-gr-bitflip,M1-GR-BF,0.004647821172499983,0.003665408771499956,8,0,0,1.0,0.0078125,0.1875
distributed-su-vnd-iwssr,SU-VND-IWSSR,monolith1-gr-bitflip,M1-GR-BF,0.0035775493169999673,0.0025458739809999797,7,0,1,0.9444444444444444,0.015625,0.1875
distributed-gr-rvnd-bitflip,GR-RVND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.2080020510505,0.10258316995200001,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwss,GR-RVND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.20733455213587498,0.10078553077700003,8,0,0,1.0,0.0078125,0.1875
distributed-gr-rvnd-iwssr,GR-RVND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.20796354154675,0.10420137732500001,8,0,0,1.0,0.0078125,0.1875
distributed-gr-vnd-bitflip,GR-VND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.142014509167125,0.039383227375499985,5,0,3,0.5555555555555556,0.109375,0.1875
distributed-gr-vnd-iwss,GR-VND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.208414945202,0.10285484797050004,8,0,0,1.0,0.0078125,0.1875
distributed-gr-vnd-iwssr,GR-VND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.205613275179375,0.10181146165299998,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-bitflip,IG-RVND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.209273725912,0.10229203623350003,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwss,IG-RVND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.208788491384,0.10380677075949996,8,0,0,1.0,0.0078125,0.1875
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.207732119296125,0.1024624383785,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-bitflip,IG-VND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.140435696155375,0.05029142528399999,7,0,1,0.8333333333333334,0.0390625,0.1875
distributed-ig-vnd-iwss,IG-VND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.2093580433915,0.10380677075949996,8,0,0,1.0,0.0078125,0.1875
distributed-ig-vnd-iwssr,IG-VND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.206638976863125,0.10348163415699996,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-bitflip,RF-RVND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.20881945152624998,0.10250982458449998,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.209253991624625,0.10246412942549998,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.209195755262625,0.10145004187449996,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-bitflip,RF-VND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.164159145929875,0.06443421759450002,7,0,1,0.9444444444444444,0.015625,0.1875
distributed-relieff-vnd-iwss,RF-VND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.20874204386837497,0.10077598536499999,8,0,0,1.0,0.0078125,0.1875
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.209392091674125,0.10360983390349998,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-bitflip,SU-RVND-BF,monolith2-gr-iwss,M2-GR-IWSS,0.20693495415837498,0.10051955269599999,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwss,SU-RVND-IWSS,monolith2-gr-iwss,M2-GR-IWSS,0.20683951351625,0.09971623702099996,8,0,0,1.0,0.0078125,0.1875
distributed-su-rvnd-iwssr,SU-RVND-IWSSR,monolith2-gr-iwss,M2-GR-IWSS,0.206744768574125,0.09913079557900001,8,0,0,1.0,0.0078125,0.1875
