arm,architecture,pipeline_workers,seed,run_id,run_dir,test_f1_macro,validation_f1_macro,test_precision_macro,test_recall_macro,accuracy,subset_size,reduction_percent,selection_elapsed_seconds,candidate_count,candidates_per_second,cpu_cores_median,memory_mib_median,cpu_hours,memory_gib_hours,cpu_hours_per_candidate,memory_gib_hours_per_candidate,selection_horizon_seconds,stop_reason,anytime_auc_normalized,target_0_93_reached,time_to_0_93_seconds_censored,target_0_94_reached,time_to_0_94_seconds_censored,target_0_945_reached,time_to_0_945_seconds_censored,target_0_95_reached,time_to_0_95_seconds_censored,construction_active_seconds,local_search_active_seconds,construction_local_search_overlap_seconds,local_search_overlap_percent,unique_candidate_count,distinct_qualified_count,quality_yield_auc_normalized,qualified_subset_throughput,reached_quality_threshold,time_to_first_qualified_seconds_censored,cpu_hours_per_qualified_subset,memory_gib_hours_per_qualified_subset
distributed-w1,distributed,1,102,ablation-distributed-w1-s102-cf787c1cf68b,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-102/ablation-distributed-w1-s102-cf787c1cf68b,0.94341323716,0.945090449204,0.944676922368,0.942236111111,0.932975,12,76.47058823529412,2700.0,243,0.09,2.35905,3790.382,1.7692875,2.77615869140625,0.007281018518518518,0.011424521363811729,2700.0,run_timeout,0.8818503592667593,True,1213.656,True,1231.7820000000002,True,1231.7820000000002,False,2700.0,2616.912026643753,2582.1585800647736,2582.101240634918,99.99777939936385,232,1,0.5437844444444445,0.00037037037037037035,True,1231.782,1.7692875,2.77615869140625
distributed-w2,distributed,2,102,ablation-distributed-w2-s102-0164dacb57c7,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-102/ablation-distributed-w2-s102-0164dacb57c7,0.946084035901,0.945577966908,0.947896692375,0.944402777778,0.936075,7,86.27450980392157,2700.0,330,0.12222222222222222,3.1244500000000004,4169.366,2.3433375000000005,3.05373486328125,0.007101022727272729,0.009253742009943182,2700.0,run_timeout,0.8978166455020851,True,455.586,True,455.586,True,504.0,False,2700.0,2621.044174671173,2595.481950044632,2595.4328627586365,99.99810874099916,310,3,2.051245925925926,0.0011111111111111111,True,504.0,0.7811125000000002,1.01791162109375
distributed-w4,distributed,4,102,ablation-distributed-w4-s102-9320c3f00e91,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-102/ablation-distributed-w4-s102-9320c3f00e91,0.946084035901,0.945577966908,0.947896692375,0.944402777778,0.936075,7,86.27450980392157,2700.0,329,0.12185185185185185,4.14935,4540.866,3.1120125,3.32582958984375,0.009459004559270517,0.010108904528400455,2700.0,run_timeout,0.8894657152522408,True,569.738,True,569.738,True,677.214,False,2700.0,2617.1581559181213,2577.5542120933533,2577.5052938461304,99.99810214477766,305,2,1.487268888888889,0.0007407407407407407,True,677.214,1.55600625,1.662914794921875
monolith,monolith,0,102,ablation-monolith-s102-46490c955dd5,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-102/ablation-monolith-s102-46490c955dd5,0.94341323716,0.945090449204,0.944676922368,0.942236111111,0.932975,12,76.47058823529412,2700.0,198,0.07333333333333333,1.00455,1328.1280000000002,0.7534125,0.9727500000000001,0.0038051136363636364,0.004912878787878788,2700.0,run_timeout,0.890588427233082,True,788.273,True,828.926,True,841.622,False,2700.0,19.849000000000004,2611.582,0.0,0.0,183,1,0.6882881481481482,0.00037037037037037035,True,841.622,0.7534125,0.9727500000000001
distributed-w1,distributed,1,103,ablation-distributed-w1-s103-6ac2ce614962,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-103/ablation-distributed-w1-s103-6ac2ce614962,0.944747156989,0.944867089472,0.945680014765,0.943861111111,0.934575,12,76.47058823529412,2700.0,229,0.08481481481481482,2.1668499999999993,3928.483,1.6251374999999995,2.8773068847656247,0.007096670305676854,0.012564658885439409,2700.0,run_timeout,0.8787455809156816,True,1093.964,True,1143.062,False,2700.0,False,2700.0,2616.9963150024414,2577.46569108963,2577.4128489494324,99.99794984118002,218,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,103,ablation-distributed-w2-s103-789ea461d51d,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-103/ablation-distributed-w2-s103-789ea461d51d,0.944747156989,0.944867089472,0.945680014765,0.943861111111,0.934575,12,76.47058823529412,2700.0,325,0.12037037037037036,3.2169000000000003,3880.1580000000004,2.412675,2.8419125976562505,0.007423615384615385,0.008744346454326925,2700.0,run_timeout,0.8878543663493963,True,1060.31,True,1132.743,False,2700.0,False,2700.0,2621.053715467453,2594.257840871811,2594.2176694869995,99.99845152689997,305,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,103,ablation-distributed-w4-s103-f1eae74d4d8d,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-103/ablation-distributed-w4-s103-f1eae74d4d8d,0.946532930045,0.947335452966,0.947626167907,0.9455,0.9366,11,78.43137254901961,2700.0,344,0.1274074074074074,4.094200000000001,4467.469999999999,3.0706500000000005,3.2720727539062495,0.008926308139534885,0.00951183940089026,2700.0,run_timeout,0.8937780529582742,True,827.818,True,827.818,True,925.5219999999999,False,2700.0,2587.0259997844696,2586.6940219402313,2556.040411710739,98.81495028134408,319,3,0.9053240740740741,0.0011111111111111111,True,925.522,1.0235500000000002,1.0906909179687498
monolith,monolith,0,103,ablation-monolith-s103-2e4acf0bd987,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-103/ablation-monolith-s103-2e4acf0bd987,0.944747156989,0.944867089472,0.945680014765,0.943861111111,0.934575,12,76.47058823529412,2700.0,188,0.06962962962962962,1.0038,1324.5439999999999,0.75285,0.9701249999999999,0.004004521276595745,0.005160239361702127,2700.0,run_timeout,0.885418333972568,True,714.876,True,752.256,False,2700.0,False,2700.0,21.804999999999993,2603.188,0.0,0.0,174,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,104,ablation-distributed-w1-s104-5eb4c8d5ae91,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-104/ablation-distributed-w1-s104-5eb4c8d5ae91,0.946203973438,0.946335035692,0.947538113941,0.944958333333,0.936175,11,78.43137254901961,2700.0,234,0.08666666666666667,2.1172500000000003,3735.4440000000004,1.5879375000000002,2.7359208984375,0.006786057692307694,0.011691969651442308,2700.0,run_timeout,0.8830357587463186,True,974.3980000000001,True,974.3980000000001,True,1009.9580000000001,False,2700.0,2618.353260755539,2586.5784261226654,2586.4914507865906,99.99663743673122,223,2,1.1666925925925924,0.0007407407407407407,True,1009.958,0.7939687500000001,1.36796044921875
distributed-w2,distributed,2,104,ablation-distributed-w2-s104-ebdd16938c44,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-104/ablation-distributed-w2-s104-ebdd16938c44,0.946203973438,0.946335035692,0.947538113941,0.944958333333,0.936175,11,78.43137254901961,2700.0,327,0.12111111111111111,3.13135,4128.702,2.3485125,3.02395166015625,0.007181995412844037,0.00924755859375,2700.0,run_timeout,0.8880336238308815,True,779.048,True,779.048,True,1272.5900000000001,False,2700.0,2620.7876648902893,2595.2509582042694,2595.2075431346893,99.99832713405064,307,2,0.9536474074074074,0.0007407407407407407,True,1272.59,1.17425625,1.511975830078125
